Model,Curve,X,Y,Threshold
Original XGBoost,PR,0.8688524590163934,0.381294964028777,0.025021357
Original XGBoost,PR,0.8633879781420765,0.3798076923076923,0.02505443
Original XGBoost,PR,0.8633879781420765,0.38072289156626504,0.025059102
Original XGBoost,PR,0.8579234972677595,0.37922705314009664,0.025173686
Original XGBoost,PR,0.8524590163934426,0.37772397094430993,0.02524903
Original XGBoost,PR,0.8469945355191257,0.3762135922330097,0.025425725
Original XGBoost,PR,0.8469945355191257,0.3771289537712895,0.02551534
Original XGBoost,PR,0.8415300546448088,0.375609756097561,0.025587056
Original XGBoost,PR,0.8360655737704918,0.3740831295843521,0.025595266
Original XGBoost,PR,0.8360655737704918,0.375,0.025649337
Original XGBoost,PR,0.8360655737704918,0.3759213759213759,0.02566232
Original XGBoost,PR,0.8360655737704918,0.3768472906403941,0.025799602
Original XGBoost,PR,0.8360655737704918,0.37777777777777777,0.025849143
Original XGBoost,PR,0.8360655737704918,0.3787128712871287,0.025978005
Original XGBoost,PR,0.8360655737704918,0.37965260545905705,0.026003232
Original XGBoost,PR,0.8360655737704918,0.3805970149253731,0.026543284
Original XGBoost,PR,0.8306010928961749,0.3790523690773067,0.026935484
Original XGBoost,PR,0.8306010928961749,0.38,0.027029365
Original XGBoost,PR,0.8306010928961749,0.38095238095238093,0.027124722
Original XGBoost,PR,0.8306010928961749,0.38190954773869346,0.027586013
Original XGBoost,PR,0.8306010928961749,0.38287153652392947,0.027594762
Original XGBoost,PR,0.8306010928961749,0.3838383838383838,0.027633883
Original XGBoost,PR,0.8306010928961749,0.3848101265822785,0.027678013
Original XGBoost,PR,0.825136612021858,0.383248730964467,0.027739495
Original XGBoost,PR,0.825136612021858,0.3842239185750636,0.027935736
Original XGBoost,PR,0.825136612021858,0.3852040816326531,0.02798942
Original XGBoost,PR,0.819672131147541,0.3836317135549872,0.028071314
Original XGBoost,PR,0.819672131147541,0.38461538461538464,0.028139671
Original XGBoost,PR,0.8142076502732241,0.38303341902313626,0.028406302
Original XGBoost,PR,0.8142076502732241,0.38402061855670105,0.028430987
Original XGBoost,PR,0.8142076502732241,0.3850129198966408,0.028509036
Original XGBoost,PR,0.8142076502732241,0.3860103626943005,0.028683687
Original XGBoost,PR,0.8142076502732241,0.38701298701298703,0.028833358
Original XGBoost,PR,0.8142076502732241,0.3880208333333333,0.028855797
Original XGBoost,PR,0.8087431693989071,0.38642297650130547,0.028863173
Original XGBoost,PR,0.8087431693989071,0.387434554973822,0.028885739
Original XGBoost,PR,0.8032786885245902,0.3858267716535433,0.029201282
Original XGBoost,PR,0.8032786885245902,0.3868421052631579,0.02922517
Original XGBoost,PR,0.8032786885245902,0.38786279683377306,0.029248185
Original XGBoost,PR,0.7978142076502732,0.3862433862433862,0.029306987
Original XGBoost,PR,0.7978142076502732,0.38726790450928383,0.029459953
Original XGBoost,PR,0.7978142076502732,0.3882978723404255,0.029582905
Original XGBoost,PR,0.7978142076502732,0.3893333333333333,0.029607119
Original XGBoost,PR,0.7978142076502732,0.39037433155080214,0.02965513
Original XGBoost,PR,0.7978142076502732,0.3914209115281501,0.029812101
Original XGBoost,PR,0.7923497267759563,0.3897849462365591,0.02997243
Original XGBoost,PR,0.7923497267759563,0.3908355795148248,0.03022307
Original XGBoost,PR,0.7923497267759563,0.3918918918918919,0.030360483
Original XGBoost,PR,0.7923497267759563,0.39295392953929537,0.03040154
Original XGBoost,PR,0.7923497267759563,0.39402173913043476,0.03042267
Original XGBoost,PR,0.7923497267759563,0.39509536784741145,0.030489901
Original XGBoost,PR,0.7868852459016393,0.39344262295081966,0.0306476
Original XGBoost,PR,0.7868852459016393,0.39452054794520547,0.03067296
Original XGBoost,PR,0.7868852459016393,0.3956043956043956,0.030823782
Original XGBoost,PR,0.7814207650273224,0.3939393939393939,0.030949142
Original XGBoost,PR,0.7814207650273224,0.39502762430939226,0.030987255
Original XGBoost,PR,0.7814207650273224,0.3961218836565097,0.031108323
Original XGBoost,PR,0.7814207650273224,0.3972222222222222,0.031167055
Original XGBoost,PR,0.7759562841530054,0.3955431754874652,0.031343214
Original XGBoost,PR,0.7759562841530054,0.39664804469273746,0.031412978
Original XGBoost,PR,0.7759562841530054,0.39775910364145656,0.03177808
Original XGBoost,PR,0.7759562841530054,0.398876404494382,0.031800136
Original XGBoost,PR,0.7759562841530054,0.4,0.03221562
Original XGBoost,PR,0.7759562841530054,0.4011299435028249,0.032459956
Original XGBoost,PR,0.7759562841530054,0.40226628895184136,0.032541778
Original XGBoost,PR,0.7759562841530054,0.4034090909090909,0.032730654
Original XGBoost,PR,0.7759562841530054,0.4045584045584046,0.032924395
Original XGBoost,PR,0.7759562841530054,0.4057142857142857,0.033212055
Original XGBoost,PR,0.7759562841530054,0.4068767908309456,0.033291683
Original XGBoost,PR,0.7759562841530054,0.40804597701149425,0.033334725
Original XGBoost,PR,0.7759562841530054,0.4092219020172911,0.03336364
Original XGBoost,PR,0.7704918032786885,0.407514450867052,0.03349905
Original XGBoost,PR,0.7704918032786885,0.40869565217391307,0.03361253
Original XGBoost,PR,0.7704918032786885,0.40988372093023256,0.033639204
Original XGBoost,PR,0.7704918032786885,0.4110787172011662,0.033803754
Original XGBoost,PR,0.7704918032786885,0.41228070175438597,0.033922784
Original XGBoost,PR,0.7704918032786885,0.41348973607038125,0.034288205
Original XGBoost,PR,0.7704918032786885,0.4147058823529412,0.034369964
